date,open,high,low,close,volume,barCount
20230303  00:02:00,4018.25,4018.25,4018.25,4018.25,1,1
20230303  00:03:00,4018.25,4018.25,4018.25,4018.25,0,0
20230303  00:04:00,4018.25,4018.25,4018.25,4018.25,0,0
20230303  00:05:00,4018.25,4018.25,4018.25,4018.25,0,0
20230303  00:06:00,4018.25,4018.25,4018.25,4018.25,0,0
20230303  00:07:00,4016.5,4016.5,4016.5,4016.5,1,1
20230303  00:08:00,4017.25,4017.25,4017.25,4017.25,1,1
20230303  00:09:00,4017.25,4017.25,4017.25,4017.25,0,0
20230303  00:10:00,4017.25,4017.25,4017.25,4017.25,0,0
20230303  00:11:00,4017.25,4017.25,4017.25,4017.25,0,0
20230303  00:12:00,4017.25,4017.25,4017.25,4017.25,0,0
20230303  00:13:00,4017.25,4017.25,4017.25,4017.25,0,0
20230303  00:14:00,4017.25,4017.25,4017.25,4017.25,0,0
20230303  00:15:00,4016.75,4016.75,4016.75,4016.75,3,3
20230303  00:16:00,4016.75,4016.75,4016.75,4016.75,0,0
20230303  00:17:00,4016.75,4016.75,4016.75,4016.75,0,0
20230303  00:18:00,4017.25,4017.25,4017.25,4017.25,2,1
20230303  00:19:00,4017.25,4017.25,4017.0,4017.0,2,2
20230303  00:20:00,4017.0,4017.0,4017.0,4017.0,2,2
20230303  00:21:00,4017.25,4017.25,4017.25,4017.25,1,1
20230303  00:22:00,4017.0,4017.0,4016.75,4016.75,2,2
20230303  00:23:00,4016.75,4016.75,4016.75,4016.75,1,1
20230303  00:24:00,4016.75,4016.75,4016.75,4016.75,0,0
20230303  00:25:00,4016.75,4016.75,4016.75,4016.75,0,0
20230303  00:26:00,4016.75,4016.75,4016.75,4016.75,1,1
20230303  00:27:00,4016.75,4016.75,4016.75,4016.75,0,0
20230303  00:28:00,4016.75,4016.75,4016.75,4016.75,0,0
20230303  00:29:00,4016.25,4016.25,4016.25,4016.25,3,2
20230303  00:30:00,4016.5,4016.5,4016.5,4016.5,1,1
20230303  00:31:00,4016.25,4016.25,4016.25,4016.25,1,1
20230303  00:32:00,4015.5,4015.75,4015.5,4015.75,2,2
20230303  00:33:00,4015.25,4015.25,4015.25,4015.25,1,1
20230303  00:34:00,4015.25,4015.25,4015.25,4015.25,0,0
20230303  00:35:00,4015.25,4015.25,4015.25,4015.25,0,0
20230303  00:36:00,4015.25,4015.25,4015.25,4015.25,0,0
20230303  00:37:00,4015.0,4015.0,4015.0,4015.0,1,1
20230303  00:38:00,4015.0,4015.0,4015.0,4015.0,0,0
20230303  00:39:00,4015.0,4015.0,4015.0,4015.0,0,0
20230303  00:40:00,4015.0,4015.0,4015.0,4015.0,0,0
20230303  00:41:00,4015.0,4015.0,4015.0,4015.0,0,0
20230303  00:42:00,4015.5,4015.5,4015.5,4015.5,1,1
20230303  00:43:00,4015.5,4015.5,4015.5,4015.5,0,0
20230303  00:44:00,4015.5,4015.5,4015.5,4015.5,0,0
20230303  00:45:00,4015.5,4015.5,4015.5,4015.5,0,0
20230303  00:46:00,4015.0,4015.0,4015.0,4015.0,1,1
20230303  00:47:00,4015.0,4015.0,4015.0,4015.0,0,0
20230303  00:48:00,4014.25,4014.25,4014.0,4014.0,3,3
20230303  00:49:00,4014.0,4014.0,4014.0,4014.0,0,0
20230303  00:50:00,4014.5,4014.5,4014.5,4014.5,1,1
20230303  00:51:00,4014.5,4014.5,4014.5,4014.5,0,0
